Date,Natural_Gas,Crude_oil,Bitcoin,Ethereum,Nasdaq100,Apple,Tesla,Microsoft,Silver,Google,Nvidia,Berkshire,Netflix,Amazon,Meta,Gold
30-11-2023,147750,559170,33530,252490,444540000,47990000,129350000,29350000,51620,37390000,52040000,7420,4260000,64320000,22400000,151920
29-11-2023,141590,322170,49340,269970,230980000,37940000,134650000,24360000,67400,23840000,36040000,7580,2850000,38760000,15980000,197790
28-11-2023,4140,286620,57500,312940,238590000,37790000,147240000,20330000,63460,18700000,38950000,6930,2880000,41270000,12390000,1860
27-11-2023,67040,289560,45240,354280,215450000,40400000,111510000,22140000,55050,23330000,39390000,9910,3570000,52380000,15650000,1060
24-11-2023,34120,281150,65830,460970,68570000,24040000,65030000,9380000,31900,12510000,29380000,7710,1400000,21620000,5470000,520
22-11-2023,59220,389330,64810,506350,202910000,39630000,118120000,23360000,24900,17820000,90060000,7270,2840000,45700000,10720000,670
21-11-2023,103670,238630,71070,527410,210890000,38130000,122290000,28420000,23430,22640000,56570000,7220,3000000,71230000,11980000,670
20-11-2023,113700,27250,51800,455230,247080000,46540000,116560000,52530000,15880,27850000,41610000,9920,3620000,41980000,16740000,310
17-11-2023,146650,101480,51370,430920,259240000,50940000,142770000,40330000,54400,37290000,32590000,8010,2800000,49680000,14520000,133120
16-11-2023,166400,125170,66920,585120,274410000,53990000,135460000,26430000,83270,27160000,33480000,7320,3620000,49650000,18930000,186810
15-11-2023,109450,282300,75510,455570,271670000,53230000,149640000,26150000,72280,23200000,47130000,7620,5010000,63260000,14530000,142920
14-11-2023,146720,263000,63560,521220,290230000,59710000,147560000,26810000,76300,32270000,41350000,7230,4000000,56430000,17180000,180740
13-11-2023,165650,262900,44550,578440,197750000,41970000,138760000,19940000,64070,18010000,38180000,9420,2780000,35240000,16050000,183700
10/11/2023,106720,267000,59560,640310,278470000,66180000,131310000,28070000,63950,26930000,42240000,7750,4440000,49350000,19120000,229640
9/11/2023,142580,303430,115560,1210000,263170000,52450000,141300000,23820000,74590,22890000,53440000,7080,2700000,35500000,16100000,214080
8/11/2023,172750,429650,46330,265080,241210000,49180000,105600000,25730000,66630,25650000,34440000,7250,2300000,43570000,12870000,189360
7/11/2023,186180,396290,53490,370100,232650000,70210000,116020000,25740000,79030,27770000,34140000,7320,3240000,53670000,14060000,218950
6/11/2023,185740,271130,29810,359000,218030000,63650000,116550000,23290000,41670,19020000,39890000,11220,2890000,44410000,12890000,146280
3/11/2023,110110,457280,54540,337000,269750000,79830000,119540000,23640000,76960,26390000,42460000,8010,3670000,44060000,16760000,222190
2/11/2023,118510,307120,63660,398430,296180000,67020000,124390000,24100000,45120,26590000,39820000,7150,4420000,51570000,21480000,158650
1/11/2023,151260,321590,71660,509010,298770000,56930000,121660000,28160000,54800,30080000,43760000,7400,4810000,61530000,20430000,197630
31-10-2023,238330,346010,43400,279110,251080000,43520000,117590000,19750000,54680,25920000,51380000,6610,3870000,48970000,18040000,214780
30-10-2023,119530,356930,45200,304470,233950000,50470000,135520000,22780000,60080,28180000,38310000,8840,5280000,72030000,27540000,181340
27-10-2023,4090,333760,47330,298240,274770000,58500000,94880000,29860000,70,44570000,41680000,7910,5000000,125310000,29600000,370
